BLOCKID|PLACEFP
480019505001019|54708
480019505001020|54708
480019505001021|54708
480019505001022|54708
480019505001023|54708
480019505001024|
480019505001025|
480019505001026|54708
480019505001027|54708
480019505001028|54708
480019505001029|54708
480019505001030|54708
480019505001031|54708
480019505001032|54708
480019505001033|
480019505001034|54708
480019505002000|54708
480019505002001|54708
480019505002002|54708
480019505002003|54708
480019505002004|54708
480019505002005|54708
480019505002006|54708
480019505002007|54708
480019505002008|54708
480019505002009|54708
480019505002010|54708
480019505002011|54708
480019505002012|54708
480019505002013|54708
480019505002014|54708
480019505002015|54708
480019505002016|54708
480019505002017|54708
480019505002018|54708
480019505002019|54708
480019505002020|54708
480019505002021|54708
480019505002022|54708
480019505002023|54708
480019505002024|54708
480019505002025|54708
480019505002026|54708
480019505002027|54708
480019505002028|54708
480019505002029|54708
480019505002030|54708
480019505002031|54708
480019505003000|54708
480019505003001|54708
480019505003002|54708
480019505003003|54708
480019505003004|54708
480019505003005|54708
480019505003006|54708
480019505003007|54708
480019505003008|54708
480019505003009|54708
480019505003010|54708
480019505003011|54708
480019505003012|54708
480019505003013|54708
480019505003014|54708
480019505003015|54708
480019505003016|54708
480019505003017|54708
480019505003018|54708
480019505003019|54708
480019505003020|54708
480019505003021|54708
480019505003022|54708
480019505003023|54708
480019505003024|54708
480019505003025|54708
480019505003026|54708
480019505003027|54708
480019505003028|54708
480019505003029|54708
480019505003030|54708
480019505003031|54708
480019505003032|54708
480019505003033|54708
480019505003034|54708
480019505003035|54708
480019505003036|54708
480019505003037|54708
480019505003038|54708
480019505003039|54708
480019505003040|54708
480019505003041|54708
480019505003042|54708
480019505003043|54708
480019505003044|54708
480019505003045|54708
480019505003046|54708
480019505003047|54708
480019505003048|54708
480019505003049|54708
480019505003050|54708
480019505003051|54708
480019505003052|54708
480019505003053|54708
480019505003054|54708
480019505003055|54708
480019505003056|54708
480019505003057|54708
480019505003058|54708
480019505003059|54708
480019505003060|54708
480019505003061|54708
480019505003062|54708
480019505003063|54708
480019505003064|54708
480019505003065|54708
480019505003066|54708
480019505003067|54708
480019505003068|54708
480019505003069|54708
480019505003070|54708
480019505003071|54708
480019505003072|54708
480019505003073|54708
480019505003074|54708
480019505003075|54708
480019505003076|54708
480019505003077|54708
480019505003078|54708
480019505003079|54708
480019505003080|54708
480019505003081|54708
480019505003082|54708
480019505003083|54708
480019505004000|
480019505004001|
480019505004002|
480019505004003|
480019505004004|
480019505004005|
480019505004006|54708
480019505004007|
480019505004008|54708
480019505004009|54708
480019505004010|54708
480019505004011|54708
480019505004012|54708
480019505004013|
480019505004014|
480019505004015|
480019505004016|
480019505004017|54708
480019505004018|54708
480019505004019|54708
480019505004020|54708
480019505004021|54708
480019505004022|54708
480019505004023|54708
480019505004024|54708
480019505004025|54708
480019505004026|54708
480019505004027|54708
480019505004028|54708
480019505004029|54708
480019505004030|54708
480019505004031|54708
480019505004032|54708
480019505004033|54708
480019505004034|54708
480019505004035|54708
480019505004036|54708
480019505004037|54708
480019505004038|54708
480019505004039|54708
480019505004040|54708
480019505004041|
480019506001000|54708
480019506001001|
480019506001002|
480019506001003|54708
480019506001004|54708
480019506001005|54708
480019506001006|54708
480019506001007|54708
480019506001008|54708
480019506001009|
480019506001010|
480019506001011|54708
480019506001012|54708
480019506001013|54708
480019506001014|54708
480019506001015|54708
480019506001016|
480019506001017|
480019506001018|
480019506001019|
480019506001020|54708
480019506001021|54708
480019506001022|54708
480019506001023|54708
480019506001024|54708
480019506001025|54708
480019506001026|54708
480019506001027|54708
480019506001028|54708
480019506001029|54708
480019506001030|54708
480019506001031|54708
480019506001032|54708
480019506001033|54708
480019506001034|54708
480019506001035|54708
480019506001036|54708
480019506001037|54708
480019506001038|54708
480019506001039|54708
480019506001040|54708
480019506001041|54708
480019506001042|54708
480019506001043|54708
480019506001044|54708
480019506001045|54708
480019506001046|54708
480019506001047|54708
480019506001048|54708
480019506001049|54708
480019506001050|54708
480019506001051|54708
480019506001052|54708
480019506001053|54708
480019506001054|54708
480019506001055|54708
480019506001056|54708
480019506001057|54708
480019506001058|54708
480019506001059|54708
480019506001060|54708
480019506001061|54708
480019506001062|54708
480019506001063|54708
480019506001064|54708
480019506001065|54708
480019506001066|54708
480019506001067|54708
480019506001068|54708
480019506001069|54708
480019506001070|54708
480019506001071|54708
480019506001072|54708
480019506001073|54708
480019506001074|54708
480019506001075|54708
480019506001076|54708
480019506001077|54708
480019506001078|54708
480019506001079|54708
480019506002000|54708
480019506002001|54708
480019506002002|54708
480019506002003|
480019506002004|54708
480019506002005|54708
480019506002006|54708
480019506002007|54708
480019506002008|54708
480019506002009|54708
480019506002010|
480019506002011|
480019506002012|
480019506002013|54708
480019506002014|54708
480019506002015|54708
480019506002016|54708
480019506002017|54708
480019506002018|54708
480019506002019|54708
480019506002020|54708
480019506002021|54708
480019506002022|54708
480019506002023|54708
480019506002024|54708
480019506002025|54708
480019506002026|54708
480019506002027|54708
480019506002028|54708
480019506002029|54708
480019506002030|54708
480019506002031|54708
480019506002032|54708
480019506002033|54708
480019506002034|54708
480019506002035|
480019506002036|54708
480019506003000|54708
480019506003001|54708
480019506003002|54708
480019506003003|54708
480019506003004|54708
480019506003005|54708
480019506003006|54708
480019506003007|54708
480019506003008|54708
480019506003009|54708
480019506003010|54708
480019506003011|54708
480019506003012|54708
480019506003013|54708
480019506003014|54708
480019506003015|54708
480019506003016|54708
480019506003017|54708
480019506003018|54708
480019506003019|54708
480019506003020|54708
480019506003021|54708
480019506003022|54708
480019506003023|54708
480019506003024|54708
480019506003025|54708
480019506003026|54708
480019506003027|54708
480019506003028|54708
480019506003029|54708
480019506003030|54708
480019506003031|54708
480019506003032|54708
480019506003033|54708
480019506003034|54708
480019506003035|54708
480019506003036|54708
480019506003037|54708
480019506003038|54708
480019506003039|54708
480019506003040|54708
480019506003041|54708
480019506003042|54708
480019506003043|54708
480019506003044|54708
480019506003045|54708
480019506003046|54708
480019506003047|54708
480019506003048|54708
480019506003049|54708
480019506003050|54708
480019506003051|54708
480019506003052|54708
480019506003053|54708
480019506003054|54708
480019506003055|54708
480019506003056|54708
480019506003057|54708
480019506003058|54708
480019506003059|54708
480019506003060|54708
480019506003061|54708
480019506003062|54708
480019506003063|54708
480019506003064|54708
480019506003065|54708
480019506003066|54708
480019506003067|54708
480019506003068|54708
480019506003069|54708
480019506003070|54708
480019506003071|54708
480019506003072|54708
480019506003073|54708
480019506003074|54708
480019506003075|
480019506003076|54708
480019506003077|54708
480019506003078|54708
480019506003079|54708
480019506003080|54708
480019506003081|54708
480019506003082|
480019506003083|54708
480019506003084|54708
480019506003085|54708
