BLOCKID|COUNTYFP|DISTRICT
480019501002160|001|000018
480019501002161|001|000018
480019501002162|001|000018
480019501002163|001|000018
480019501002164|001|000018
480019501003000|001|000018
480019501003001|001|000018
480019501003002|001|000018
480019501003003|001|000018
480019501003004|001|000018
480019501003005|001|000018
480019501003006|001|000018
480019501003007|001|000018
480019501003008|001|000018
480019501003009|001|000018
480019501003010|001|000023
480019501003011|001|000023
480019501003012|001|000023
480019501003013|001|000018
480019501003014|001|000018
480019501003015|001|000018
480019501003016|001|000018
480019501003017|001|000018
480019501003018|001|000018
480019501003019|001|000018
480019501003020|001|000018
480019501003021|001|000018
480019501003022|001|000018
480019501003023|001|000018
480019501003024|001|000018
480019501003025|001|000018
480019501003026|001|000018
480019501003027|001|000023
480019501003028|001|000023
480019501003029|001|000023
480019501003030|001|000023
480019501003031|001|000018
480019501003032|001|000018
480019501003033|001|000023
480019501003034|001|000023
480019501003035|001|000023
480019501003036|001|000023
480019501003037|001|000023
480019501003038|001|000023
480019501003039|001|000023
480019501003040|001|000023
480019501003041|001|000023
480019501003042|001|000023
480019501003043|001|000023
480019501003044|001|000023
480019501003045|001|000023
480019501003046|001|000023
480019501003047|001|000023
480019501003048|001|000023
480019501003049|001|000023
480019501003050|001|000023
480019501003051|001|000023
480019501003052|001|000023
480019501003053|001|000023
480019501003054|001|000023
480019501003055|001|000023
480019501003056|001|000023
480019501003057|001|000023
480019501003058|001|000023
480019501003059|001|000023
480019501003060|001|000023
480019501003061|001|000023
480019501003062|001|000023
480019501003063|001|000023
480019501003064|001|000023
480019501003065|001|000023
480019501003066|001|000023
480019501003067|001|000023
480019501003068|001|000023
480019501003069|001|000023
480019501003070|001|000023
480019501003071|001|000023
480019501003072|001|000023
480019501003073|001|000023
480019501003074|001|000023
480019501003075|001|000023
480019501003076|001|000023
480019501003077|001|000023
480019501003078|001|000022
480019501003079|001|000023
480019501003080|001|000023
480019501003081|001|000023
480019501003082|001|000023
480019501003083|001|000022
480019501003084|001|000022
480019501003085|001|000022
480019501003086|001|000023
480019501003087|001|000023
480019501003088|001|000023
480019501003089|001|000023
480019501003090|001|000023
480019504011000|001|000010
480019504011001|001|000010
480019504011002|001|000010
480019504011003|001|000010
480019504011004|001|000010
480019504011005|001|000010
480019504011006|001|000010
480019504011007|001|000010
480019504011008|001|000010
480019504011009|001|000010
480019504011010|001|000010
480019504011011|001|000010
480019504011012|001|000010
480019504011013|001|000010
480019504011014|001|000010
480019504011015|001|000010
480019504011016|001|000010
480019504011017|001|000010
480019504011018|001|000010
480019504011019|001|000010
480019504011020|001|000010
480019504021000|001|000011
480019504021001|001|000011
480019504021002|001|000011
480019504021003|001|000011
480019504021004|001|000011
480019504021005|001|000011
480019504021006|001|000011
480019504021007|001|000011
480019504021008|001|000011
480019504021009|001|000011
480019504021010|001|000011
480019504021011|001|000011
480019504021012|001|000011
480019504021013|001|000011
480019504021014|001|000011
480019504021015|001|000011
480019504021016|001|000011
480019504021017|001|000011
480019504021018|001|000011
480019504021019|001|000011
480019504021020|001|000011
480019504021021|001|000011
480019504021022|001|000011
480019504021023|001|000010
480019504021024|001|000010
480019504021025|001|000010
480019504021026|001|000010
480019504021027|001|000010
480019504021028|001|000011
480019504021029|001|000011
480019504021030|001|000011
480019504021031|001|000011
480019504021032|001|000010
480019504021033|001|000010
480019504021034|001|000011
480019504021035|001|000011
480019504021036|001|000011
480019505001000|001|000017
480019505001001|001|000017
480019505001002|001|000017
480019505001003|001|000017
480019505001004|001|000013
480019505001005|001|000013
480019505001006|001|000013
480019505001007|001|000013
480019505001008|001|000013
480019505001009|001|000013
480019505001010|001|000013
480019505001011|001|000013
480019505001012|001|000013
480019505001013|001|000013
480019505001014|001|000017
480019505001015|001|000013
480019505001016|001|000013
480019505001017|001|000013
480019505001018|001|000013
480019505001019|001|000013
480019505001020|001|000013
480019505001021|001|000013
480019505001022|001|000013
480019505001023|001|000013
480019505001024|001|000013
480019505001025|001|000017
480019505001026|001|000013
480019505001027|001|000013
480019505001028|001|000013
480019505001029|001|000013
480019505001030|001|000013
480019505001031|001|000013
480019505001032|001|000013
480019505001033|001|000017
480019505001034|001|000013
480019505002000|001|000008
480019505002001|001|000008
480019505002002|001|000008
480019505002003|001|000008
480019505002004|001|000008
480019505002005|001|000008
480019505002006|001|000008
480019505002007|001|000008
480019505002008|001|000008
480019505002009|001|000008
480019505002010|001|000008
480019505002011|001|000008
480019505002012|001|000008
480019505002013|001|000008
480019505002014|001|000008
480019505002015|001|000008
480019505002016|001|000008
480019505002017|001|000008
480019505002018|001|000008
480019505002019|001|000008
480019505002020|001|000013
480019505002021|001|000008
480019505002022|001|000008
480019505002023|001|000008
480019505002024|001|000008
480019505002025|001|000008
480019505002026|001|000008
480019505002027|001|000008
480019505002028|001|000008
480019505002029|001|000008
480019505002030|001|000008
480019505002031|001|000008
480019505003000|001|000013
480019505003001|001|000020
480019505003002|001|000020
480019505003003|001|000020
480019505003004|001|000013
480019505003005|001|000013
480019505003006|001|000013
480019505003007|001|000013
480019505003008|001|000013
480019505003009|001|000020
480019505003010|001|000013
480019505003011|001|000013
480019505003012|001|000020
480019505003013|001|000020
480019505003014|001|000013
480019505003015|001|000013
480019505003016|001|000020
480019505003017|001|000020
480019505003018|001|000020
480019505003019|001|000020
480019505003020|001|000007
480019505003021|001|000007
480019505003022|001|000007
480019505003023|001|000007
480019505003024|001|000007
480019505003025|001|000007
480019505003026|001|000007
480019505003027|001|000007
480019505003028|001|000007
480019505003029|001|000007
480019505003030|001|000020
480019505003031|001|000020
480019505003032|001|000020
480019505003033|001|000007
480019505003034|001|000020
480019505003035|001|000020
480019505003036|001|000020
480019505003037|001|000020
480019505003038|001|000013
480019505003039|001|000013
480019505003040|001|000013
480019505003041|001|000013
480019505003042|001|000013
480019505003043|001|000020
480019505003044|001|000020
480019505003045|001|000020
480019505003046|001|000020
480019505003047|001|000020
480019505003048|001|000020
480019505003049|001|000020
480019505003050|001|000020
480019505003051|001|000020
480019505003052|001|000007
480019505003053|001|000007
480019505003054|001|000007
480019505003055|001|000007
480019505003056|001|000007
480019505003057|001|000007
480019505003058|001|000007
480019505003059|001|000007
480019505003060|001|000007
480019505003061|001|000020
480019505003062|001|000007
480019505003063|001|000007
480019505003064|001|000007
480019505003065|001|000007
480019505003066|001|000007
480019505003067|001|000007
480019505003068|001|000007
480019505003069|001|000007
